name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
1000 blk Hutto Rd,pfl,1000 blk Hutto Rd,30.444635,-97.606705,on,,2340
1000 blk Immanuel Rd,pfl,1000 blk Immanuel Rd,30.424711,-97.617149,on,,2341
Mammoth Cave Blvd & N Cascades Ave,pfl,Mammoth Cave Blvd & N Cascades Ave,30.460487,-97.615211,on,,2342
2200 blk Kelly Ln,pfl,2200 blk Kelly Ln,30.467777,-97.585007,on,,2344
1700 blk E Pecan St,pfl,1700 blk E Pecan St,30.431669,-97.603508,on,,2346
3600 blk E Pflugerville Pkwy,pfl,3600 blk E Pflugerville Pkwy,30.442114,-97.578987,on,,2347
2500 blk E Pecan St,pfl,2500 blk E Pecan St,30.424891,-97.590706,on,,2348
Immanuel Rd & E Pecan St,pfl,Immanuel Rd & E Pecan St,30.434956,-97.610466,on,,2349
E Pecan St & Plumbago Dr,pfl,E Pecan St & Plumbago Dr,30.432678,-97.605682,on,,2350
FM 685 & E Pflugerville Pkwy,pfl,FM 685 & E Pflugerville Pkwy,30.455914,-97.602081,on,,2351
700 blk N Railroad Ave,pfl,700 blk N Railroad Ave,30.445145,-97.618156,on,,2352
1400 blk Grand Avenue Pkwy,pfl,1400 blk Grand Avenue Pkwy,30.459835,-97.649223,on,,2353
Kelly Ln & Vilamoura St,pfl,Kelly Ln & Vilamoura St,30.462919,-97.574684,on,,2354
FM 685 & Pfennig Ln,pfl,FM 685 & Pfennig Ln,30.450813,-97.60495,on,,2355
E Pfennig Ln & E Black Locust Dr,pfl,Pfennig Ln & E Black Locust Dr,30.454319,-97.622551,on,,2356
