name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
2800 Cedar Hollow,WCO,Williamson County,30.645544,-97.770767,on,Crossing is open.,225
495 Coyote Trl,WCO,Williamson County,30.718824,-97.727203,on,Crossing is open.,226
2009 Great Oaks Dr,WCO,Williamson County,30.531857,-97.738487,on,,227
2724 Hairy Man,WCO,Williamson County,30.522415,-97.715004,on,,228
30112 Live Oak Trl,WCO,Williamson County,30.75666,-97.664383,on,,229
303 E Oak St,WCO,Williamson County,30.722553,-97.439552,on,,230
2080 Rancho Bueno,WCO,Williamson County,30.646746,-97.758873,on,Crossing is open.,231
4553 Sam Bass Rd,WCO,Williamson County,30.53838,-97.751137,on,Crossing is open.,232
421 San Gabriel Ranch,WCO,Williamson County,30.719286,-97.907944,off,Crossing is open.,233
2235 Walsh Dr,WCO,Williamson County,30.535311,-97.748856,on,,234
 FM 1460 / CR 166,WCO,Williamson County,30.600025,-97.667328,on,,236
CR 305,WCO,Williamson County,30.82645,-97.639954,on,,237
930' EAST OF CR 339 / CR 124,WCO,Williamson County,30.666122,-97.493324,on,Crossing is open.,238
1250' WEST OF SPARROW RD / COYOTE TRL,WCO,Williamson County,30.527435,-97.551743,on,Crossing is open.,239
CR 199,WCO,Williamson County,30.54162,-97.536133,on,,240
CR 428 / FM 1331,WCO,Williamson County,30.679565,-97.321938,on,,241
CR 100 & Little Mankins,WCO,Williamson County,30.645424,-97.584511,on,,242
SW CARLOS G PARKER BLVD / S RIO GRANDE,WCO,Williamson County,30.559025,-97.41861,on,,243
77' WEST OF BULL RUN / MALLARD LN,WCO,Williamson County,30.588831,-97.425148,on,Crossing is open.,244
CR 366,WCO,Williamson County,30.595577,-97.446129,on,,245
S RAINBOW BRG / S RAINBOW BRG,WCO,Williamson County,30.509405,-97.819885,on,Crossing is open.,246
S KINGS CANYON DR / S KINGS CANYON DR,WCO,Williamson County,30.508297,-97.820381,on,Crossing is open.,247
