name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
Redbud Trail East of Westlake Dr,WLH,96 Redbud Trail,30.291903,-97.79792,on,,1399
Laurel Valley Rd at Westlake Dr,WLH,101 Laurel Valley Rd,30.291838,-97.799545,on,,1400
Laurel Valley Rd West of Westlake Dr,WLH,106 Laurel Valley Rd,30.292801,-97.801224,on,,1401
Laurel Valley Rd at Ledgeway St,WLH,400 Laurel Valley Rd,30.29388,-97.805611,on,,1402
Laurel Valley Rd West of Double Fork Rd,WLH,607 Laurel Valley Rd,30.294653,-97.808762,on,,1403
Laurel Valley Rd North of Yaupon Valley Rd,WLH,705 Laurel Valley Rd ,30.294134,-97.809998,on,,1404
Yaupon Valley Rd at Allegro Ln,WLH,1200 Yaupon Valley Rd,30.296549,-97.817253,on,,1405
Eanes Creek at Sundown Pkwy,WLH,1 Sundown Pkwy,30.289833,-97.820404,on,,1406
Eanes Creek at Camp Craft Rd,WLH,301 Camp Craft Rd,30.280071,-97.811913,on,,1407
Eanes Creek at Eanes School Rd,WLH,301 Eanes School Rd,30.281258,-97.812881,on,,1408
Westlake Dr at Hull Cir,WLH,1506 Westlake Dr,30.296299,-97.794174,on,,1409
Westlake Dr at Terrace Mountain Dr,WLH,1628 Westlake Dr.,30.300865,-97.796349,on,,1410
Bee Creek at Westlake Dr.,WLH,1803 Westlake Dr.,30.302979,-97.795525,on,,1411
Terrace Mountain Dr at Spurlock Valley,WLH,600 Terrace Mountain Dr,30.302811,-97.799545,on,,1412
Spurlock Valley,WLH,605 Spurlock Valley,30.303293,-97.800575,on,,1413
Bay West Blvd @ Dry Branch of Pecan Creek,WLH,403 Bay West Blvd,30.532116,-98.400703,on,,1414
Broken Hills Dr West of Buffalo Peak Dr,WLH,100 Broken Hills Dr,30.54719,-98.407494,on,,1415
Douglas Dr East of Apache Tears,WLH,3511 Douglas Dr,30.555742,-98.399536,on,,1416
Hi Circle N @ Slickrock Creek,WLH,617 Hi Cir N,30.545195,-98.367409,on,,1417
Hi Stirrup @ Slickrock Creek,WLH,810 Hi Stirrup,30.54207,-98.367561,on,,1418
Hi Circle S @ Slickrock Creek,WLH,899 Hi Circle S,30.537415,-98.366119,on,,1419
Hi Mesa @ Slickrock Creek,WLH,Hi Mesa West of Purple Sage,30.523552,-98.368713,on,,1420
Apache Tears ,WLH,Apache Tears West of Black Hawk,30.554749,-98.409851,on,,1421
Buntline Special @ Tiger Creek,WLH,Buntline Special South of Dew Drop,30.53941,-98.336769,on,,1422
Dew Drop @ Tiger Creek,WLH,Dew Drop near Thanksgiving Mountain Rd,30.540316,-98.335136,on,,1423
Thanksgiving Mountain Rd @ Tiger Creek Tributary,WLH,Thanksgiving Mountain Rd East of Range Rider,30.542349,-98.334618,on,,1424
Dew Drop @ Tiger Creek (W),WLH,Dew Drop South of Pinkerton Loop,30.538282,-98.340546,on,,1425
Mountain Dew Rd @ Tiger Creek,WLH,3705 Mountain Dew Rd,30.534346,-98.329834,on,,1426
Pronghorn @ Tiger Creek,WLH,Pronghorn @ 11th St.,30.532995,-98.330391,on,,1427
