name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
Borchert Loop,CCO,"29.8694083,-97.73108611111111",29.869385,-97.731071,on,Clear Fork of Plum Creek,706
Black Ankle,CCO,"29.8607278,-97.74115277777778",29.859383,-97.743263,on,Low Water Crossing,707
Black Ankle ,CCO,"29.8479472,-97.743933333333333",29.852467,-97.750496,on,Low Water Crossing,708
Old Kelly Road,CCO,"29.8820083,-97.63033055555555",29.882029,-97.630348,on,Plum Creek,709
Cattlemans Row,CCO,"29.8566417,-97.58190833333333",29.855028,-97.578911,on,Low Water Crossing,710
Railroad Street,CCO,"Railroad Street, Maxwell TX",29.879816,-97.788902,on,Low Water Crossing,714
Southeast River Road,CCO,4100 Bk of Southeast River Road Martindale TX,29.822613,-97.821182,on,Low Water Crossing,721
County Line Road,CCO,"1000 Bk County Line Road, Dale TX",30.016884,-97.600433,on,Low Water Crossing,722
Long Road,CCO,"700 Bk Long Road, Lockhart, TX",29.829351,-97.740051,on,Low Water Crossing,723
Oak Grove Road,CCO,"400 Bk Oak Grove Road, Luling, TX",29.756502,-97.649612,on,between South 183 & little Lane,724
Salt Flat ,CCO,"Salt Flat Road, Luling, TX",29.756298,-97.600983,on,between FM Pumper & Soda Springs,725
Salt Flat Road,CCO,"4000 Bk Salt Flat Road, Luling, TX",29.7239,-97.616135,on,between FM 1322 and Soda Springs,726
Misty Lane,CCO,"Misty Lane, Maxwell TX",29.900843,-97.765717,on,Low Water Crossing,727
Jolley Road,CCO,"1800 Bk Jolly Road, Lockhart, TX",29.897476,-97.758484,on,Low Water Crossing,729
Polonia Road,CCO,"1000 Bk Polonia Road, Lockhart, TX",29.937742,-97.725182,on,Plum Creek,730
Plant Road,CCO,"1200 Bk Plant Road, Luling, TX",29.740314,-97.72229,on,Low Water Crossing,731
Plant Road,CCO,"Plant Road, Kingsbury, TX",29.716928,-97.753273,on,San Marcos River,732
Holz Road,CCO,"2300 Bk Holtz Road, Lockhart, TX",29.969942,-97.727432,on,Low Water Crossing,733
