name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
E Morrow St at Chamber Way,GEO,City of Georgetown,30.648214,-97.673347,on,,1430
Lower Park Rd at Chamber Way,GEO,City of Georgetown,30.647177,-97.6726,on,,1431
118 N Austin Ave,GEO,City of Georgetown,30.657619,-97.66964,on,,1432
NE Inner Loop at Pecan Branch,GEO,City of Georgetown,30.665009,-97.654427,on,,1433
Airport Rd at Pecan Branch,GEO,City of Georgetown,30.670174,-97.669922,on,,1435
Lakeway Dr at Pecan Branch E,GEO,City of Georgetown,30.669321,-97.678024,on,,1436
Northwest Blvd at Pecan Branch,GEO,City of Georgetown,30.66762,-97.68528,on,,1438
Country Club Rd at North Fork San Gabriel,GEO,City of Georgetown,30.653574,-97.696632,on,,1439
Golf Cart Path,GEO,City of Georgetown,30.653463,-97.696442,on,Country Club Rd at North Fork San Gabriel,1440
Blue Hole Park Pedestrian Bridge,GEO,City of Georgetown,30.642992,-97.679306,off,,1442
E 21st St at Church St,GEO,City of Georgetown,30.624292,-97.672836,on,,1443
Maple St at West Fork Smith Branch,GEO,City of Georgetown,30.624847,-97.665604,on,,1444
Pine St near San Jose St,GEO,City of Georgetown,30.62505,-97.667747,on,,1445
2100 Pine St,GEO,City of Georgetown,30.625511,-97.66906,on,,1446
Greenbranch Dr at Trails End Dr,GEO,City of Georgetown,30.623985,-97.658417,on,,1447
Greenbranch Dr at Quail Meadow Dr,GEO,City of Georgetown,30.624723,-97.658157,on,,1448
Greenbranch Dr at Hunters Glen Dr,GEO,City of Georgetown,30.625563,-97.657806,on,,1449
Quail Valley Dr at W Fork Smith Branch,GEO,City of Georgetown,30.626856,-97.657928,on,,1450
DB Wood Rd at Mid Fork SG,GEO,City of Georgetown,30.647963,-97.716736,on,,1451
Patriot Way at Mankins Branch,GEO,City of Georgetown,30.62919,-97.610146,on,,1452
Patriot Way at Mankins Branch 2,GEO,City of Georgetown,30.625858,-97.612816,on,,1453
S Austin Ave at Tasus Way,GEO,City of Georgetown,30.620138,-97.680878,on,,1454
N Austin Ave at Pecan Branch,GEO,City of Georgetown,30.668755,-97.665314,on,,1455
Stadium Dr at Pecan Branch,GEO,City of Georgetown,30.667238,-97.664528,on,,1456
Lakeway Dr at Pecan Branch W,GEO,City of Georgetown,30.669878,-97.683746,on,,1457
Northwest Blvd North of Hedgewood Dr,GEO,City of Georgetown,30.676853,-97.688141,on,,1458
Flume at N Fork SG River,GEO,City of Georgetown,30.651691,-97.690567,on,,1459
Pedestrian Bridge at SG Park,GEO,City of Georgetown,30.646799,-97.671524,on,,1460
Golf Cart Path SW of Oak Tree Dr/Berry Creek Dr,GEO,City of Georgetown,30.705669,-97.67247,on,,1462
Luna Trl at Logan Ranch Rd,GEO,City of Georgetown,30.694065,-97.686913,on,,1463
Old Bridge at SG Park,GEO,City of Georgetown,30.652023,-97.664444,on,,1464
E 6th St at Ash St,GEO,City of Georgetown,30.638376,-97.673187,on,,1465
E 5th St at Ash St,GEO,City of Georgetown,30.639217,-97.673233,on,,1466
111 N College St,GEO,City of Georgetown,30.643299,-97.672211,on,,1467
Blue Hole Park Rd East,GEO,City of Georgetown,30.642372,-97.679092,off,,1468
Blue Hole Park Rd West,GEO,City of Georgetown,30.642031,-97.682266,off,,1469
N College St at WL Walden Dr,GEO,City of Georgetown,30.650404,-97.665733,on,,1470
E Morrow St (lower),GEO,City of Georgetown,30.653698,-97.663879,on,,1471
Spring Valley Rd at Starview Dr,GEO,City of Georgetown,30.654078,-97.701103,on,,1472
River Trail Bridge MM3.3,GEO,City of Georgetown,30.662779,-97.706497,on,,1775
River Trail Bridge under IH35,GEO,City of Georgetown,30.645309,-97.683403,on,,1776
Lower Park Rd at Chamber Way,GEO,City of Georgetown,30.647072,-97.672668,on,,1777
610 Shady Hollow Dr - SW side,GEO,Wilco,30.665737,-97.682587,on,,1783
811 Shady Hollow Dr - NW side,GEO,Wilco,30.668791,-97.674622,on,,1784
608 Golden Oaks Rd - SE side,GEO,Wilco,30.665003,-97.679573,on,,1785
709 Golden Oaks Rd,GEO,Wilco,30.665386,-97.676056,on,,1786
St Andrews low area,GEO,30401 St. Andrews Dr.,30.714464,-97.668571,on,,1903
COG - Industrial Ave,GEO,300 Industrial Ave,30.62118,-97.677773,on,,1911
CR 152 @ Lonnie Thomas,GEO,City of Georgetown,30.667786,-97.649734,off,,2234
