name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
CR 103 @ Elm Creek,LEECO,Lee County,30.21109,-97.050545,on,,1644
CR 104 @ Dead Mans Hole Creek,LEECO,Lee County,30.219378,-97.021927,on,,1645
CR 104 @ Elm Creek,LEECO,Lee County,30.202868,-97.019073,on,,1646
CR 108 @ Bluff Creek,LEECO,Lee County,30.288042,-97.059273,on,,1648
CR 108 @ West Yegua Creek,LEECO,Lee County,30.305321,-97.083405,on,,1649
CR 109 @ Mier Branch,LEECO,Lee County,30.260092,-97.012245,on,,1651
CR 109 @ Schilling Branch,LEECO,Lee County,30.24205,-97.029968,on,,1652
CR 113 @ Elm Creek,LEECO,Lee County,30.237471,-96.98568,on,,1653
CR 113 @ Nails Creek,LEECO,Lee County,30.215399,-96.957947,on,,1654
CR 114 @ Willy Branch,LEECO,Lee County,30.239904,-96.929131,on,,1656
CR 114 @ Nails Creek,LEECO,Lee County,30.219763,-96.936272,on,,1657
CR 116 @ Little Hickory Creek,LEECO,Lee County,30.212481,-96.894165,on,,1658
CR 116 @ Persimmons Branch,LEECO,Lee County,30.203848,-96.883797,on,,1659
CR 117 @ Big Branch,LEECO,Lee County,30.255596,-96.884056,on,,1661
CR 117 @ Turkey Creek,LEECO,Lee County,30.274912,-96.890755,on,,1663
CR 118 @ Nails Creek,LEECO,Lee County,30.233433,-96.906158,on,,1664
CR 118 @ Willow Branch,LEECO,Lee County,30.244741,-96.901031,on,,1665
CR 119 @ Nails Creek,LEECO,Lee County,30.234684,-96.777527,on,,1666
CR 124 @ Yegua Creek,LEECO,Lee County,30.319473,-96.741318,on,,1668
CR 127 @ Flat Rock Creek,LEECO,Lee County,30.179604,-96.805611,on,,1672
CR 127 @ Nails Creek,LEECO,Lee County,30.234751,-96.798683,on,,1674
CR 127 @ Pin Oak Creek,LEECO,Lee County,30.220579,-96.805725,on,,1675
CR 130 @ Hog Branch,LEECO,Lee County,30.215097,-96.760712,on,,1676
