name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
Bitting School Rd. @ Wilbarger Creek,TCO,"Travis County, TX",30.309078,-97.452927,on,Roadway is open,42
Cameron Rd @ Schmidt Ln / Wilbarger Creek,TCO,"Travis County, TX",30.404383,-97.54335,on,Roadway open,43
Jesse Bohls Rd @ Tributary to Wilbarger Creek,TCO,"Travis County, TX",30.433605,-97.558022,on,Roadway is open,44
Cadillac Dr near FM 969,TCO,"Travis County, TX",30.248285,-97.579292,on,Roadway is open,45
County Line Rd @ South of 290E,TCO,"Travis County, TX",30.34866,-97.414215,on,Roadway open,46
Lockwood Rd East of Parsons Rd,TCO,"Travis County, TX",30.308081,-97.514938,on,Rdwy is open,47
Felder Ln @ Cottonwood Creek,TCO,"Travis County, TX",30.444187,-97.465218,on,Roadway is open,48
Brita Olson Rd @ Tributary to Cottonwood Creek,TCO,"Travis County, TX",30.417759,-97.482452,on,Rdwy is open,49
Jacobson Rd @ Cottonwood Creek,TCO,"Travis County, TX",30.391279,-97.480118,on,Roadway is open ,50
Johnson Rd west of Bois D,TCO,"Travis County, TX",30.380987,-97.510139,on,Roadway is open,51
Old Kimbro Rd @ Cottonwood Creek,TCO,"Travis County, TX",30.356644,-97.487617,on,Roadway is open,52
Littig Rd @ Cottonwood Creek,TCO,"Travis County, TX",30.323795,-97.471222,on,roadway is open,53
Hogeye Rd East of Blake-Manor Rd,TCO,"Travis County, TX",30.293049,-97.513618,on,roadway is open,54
Albert Voelker Rd @ Dry Creek,TCO,"Travis County, TX",30.335573,-97.440056,on,Roadway is OPEN,55
Littig Rd @ Dry Creek,TCO,"Travis County, TX",30.321613,-97.456795,on,roadway open,56
Gregg Ln @ Wilbarger Creek,TCO,"Travis County, TX",30.381243,-97.540504,on,Roadway Open,57
Jones Rd @Wilbarger Creek,TCO,"Travis County, TX",30.320063,-97.479576,on,Roadway is open,58
Springdale Rd @ Walnut Creek,TCO,"Travis County, TX",30.33741,-97.650215,on,Roadway open,59
