latitude,longitude,name,names,created_at,updated_at,distance,id
30.570244,-97.948425,Big Sandy Dr,Big Sandy Dr,Mon Jul 16 2018 12:09:38 GMT-0500 (CDT),Mon Jul 16 2018 12:09:38 GMT-0500 (CDT),0.6696942878665121,1
30.576651,-97.845581,Horizon Park Blvd,"Horizon Park Blvd,CR-273",Mon Jul 16 2018 12:09:38 GMT-0500 (CDT),Mon Jul 16 2018 12:09:38 GMT-0500 (CDT),3.2828874392848757,2
30.583527,-97.812286,Ridgmar Rd,Ridgmar Rd,Mon Jul 16 2018 12:09:39 GMT-0500 (CDT),Mon Jul 16 2018 12:09:39 GMT-0500 (CDT),2.457511191041784,3
30.582233,-97.841347,RM 2243,RM 2243,Mon Jul 16 2018 12:09:39 GMT-0500 (CDT),Mon Jul 16 2018 12:09:39 GMT-0500 (CDT),0.9874369866583211,4
30.582233,-97.841347,,,Mon Jul 16 2018 12:09:39 GMT-0500 (CDT),Mon Jul 16 2018 12:09:39 GMT-0500 (CDT),45.144748288765186,5
30.579414,-97.858871,Broade Way,Broade Way,Mon Jul 16 2018 12:09:40 GMT-0500 (CDT),Mon Jul 16 2018 12:09:40 GMT-0500 (CDT),1.426932014991744,6
30.547123,-97.901329,High Lonesome,High Lonesome,Mon Jul 16 2018 12:09:40 GMT-0500 (CDT),Mon Jul 16 2018 12:09:40 GMT-0500 (CDT),0.44837401423518425,7
30.57383,-97.789864,CR-177,CR-177,Mon Jul 16 2018 12:09:41 GMT-0500 (CDT),Mon Jul 16 2018 12:09:41 GMT-0500 (CDT),2.2310979696134923,8
30.579679,-97.882156,Waterfall Ave,Waterfall Ave,Mon Jul 16 2018 12:09:41 GMT-0500 (CDT),Mon Jul 16 2018 12:09:41 GMT-0500 (CDT),26.804031584912384,9
30.579679,-97.882156,Maplecreek Dr,Maplecreek Dr,Mon Jul 16 2018 12:09:41 GMT-0500 (CDT),Mon Jul 16 2018 12:09:41 GMT-0500 (CDT),40.832980891634456,10
30.579679,-97.882156,,,Mon Jul 16 2018 12:09:41 GMT-0500 (CDT),Mon Jul 16 2018 12:09:41 GMT-0500 (CDT),49.283455463064826,11
30.264969,-97.764992,Barton Springs Rd,Barton Springs Rd,Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),18.228022682139642,12
30.264969,-97.764992,Azie Morton Rd,"Azie Morton Rd,Robert E. Lee Rd",Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),22.24044675532625,13
