name,jurisdiction code,Display community,address,lat,lng,Additional description,id,Notes,Check / manual updates for launch
P1001 - Johnson Rd just off 1209,BCO,Bastrop County,"115 Co Rd 246, Bastrop, TX 78602",30.13537,-97.429787,,747,,
P1002 - E Riverside Dr/Tahitian Dr,BCO,Bastrop County,"3000 Riverside Dr, Bastrop, TX 78602",30.072571,-97.283447,,748,,
P1003 - Riverwood Dr ,BCO,Bastrop County,"217 Riverwood Dr, Bastrop, TX 78602",30.12042,-97.329033,Low water crossing COB1001,749,,
P1004 - Green Valley Dr,BCO,Bastrop County,"419 Green Valley Dr, Bastrop, TX 78602",30.17705,-97.293823,,750,,
P1005 - 712 Shilo Road,BCO,Bastrop County,"712 Shiloah Rd, Bastrop, TX 78602",30.097076,-97.403717,.2 West of N Gaines,751,Road is damaged,Convert to Longterm Closure status
P1006 - Lovers Ln,BCO,Bastrop County,"1275 Lovers Ln, Bastrop, TX 78602",30.09199,-97.327667,,752,,
P1007 - Keanahalululu Ln/ Haiimaile,BCO,Bastrop County,"469 Keanahalululu Ln, Bastrop, TX 78602",30.09164,-97.326958,,753,,
P1008 - Woodlands Dr,BCO,Bastrop County,"373 Woodlands Dr, Bastrop, TX 78602",30.11804,-97.402878,,754,,
P1009 - Tucker Hill Ln,BCO,Bastrop County,"5000 Tucker Hill Ln, Cedar Creek, TX 78612",30.18111,-97.523064,,755,,
P1010 - 236 Over Hill Rd,BCO,Bastrop County,"236 Overhill Rd, Bastrop, TX 78602",30.18976,-97.301392,near Creekside Dr,756,,
P1011 - 170 Tiger Woods Dr,BCO,Bastrop County,"170 Tiger Woods Dr, Bastrop, TX 78602",30.179899,-97.280937,,757,,
P1012 - Manawianui Dr ,BCO,Bastrop County,"100 Manawianui Dr, Bastrop, TX 78602",30.08757,-97.276688,just off Kaanapali ln,758,,
P1013 - Kaanapali,BCO,Bastrop County,"366 Kaanapali Ln, Bastrop, TX 78602",30.088461,-97.277298,"Low water crossing, between Manawianui Dr and Koali Dr",759,,
P1014 - Old McDade Rd ,BCO,Bastrop County,"377 Old McDade Rd, Bastrop, TX 78602",30.14341,-97.309441,Low water crossing,760,,
P1015 - Greenfields Dr,BCO,Bastrop County,"111 Greenfields Dr, Bastrop, TX 78602",30.126659,-97.427696,,761,,
P1016 - E Riverside Dr,BCO,Bastrop County,"548 Riverside Dr, Bastrop, TX 78602",30.069189,-97.298019,from Akaloa Dr to Kahana Ln,762,,
P2001 - Friendship Rd. (East),BCO,Bastrop County,"387 Friendship Cemetery Rd, Paige, TX 78659",30.187429,-97.086777,FM 151,763,,
P2002 - Friendship Rd. (West),BCO,Bastrop County,"200Friendship Cemetery Rd, Paige, TX 78659",30.18733,-97.103958,,764,Convert to Caution status,Convert to Caution status
P2003 - Saint Delight Rd,BCO,Bastrop County,"400 St Delight Rd, Paige, TX 78659",30.184549,-97.112297,,765,,
P2004 - Gotier Trace Rd,BCO,Bastrop County,"1600 Gotier Trace Rd, Paige, TX 78659",30.131001,-97.132156,,766,,
P2005 - Gotier Trace Rd.,BCO,Bastrop County,"1250 Gotier Trace Rd, Paige, TX 78659",30.123619,-97.157066,,767,,
P2006 - Bowie Dr.,BCO,Bastrop County,"126 Bowie Dr, Paige, TX 78659",30.17696,-97.201424,,768,,
P2007 - Cardinal Dr.,BCO,Bastrop County,"718 Cardinal Dr, Paige, TX 78659",30.19125,-97.202263,,769,,
P2008 - Cardinal Dr.,BCO,Bastrop County,"700 Cardinal Dr, Paige, TX 78659",30.190281,-97.204323,,770,,
