name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
P1001 - Johnson Rd just off 1209,BCO,Johnson Rd just off 1209,30.13537,-97.429787,on,Crossing is open,747
P1002 - E Riverside Dr/Tahitian Dr,BCO,E Riverside Dr/Tahitian Dr,30.072571,-97.283447,on,Roadway is Open,748
P1003 - Riverwood Dr ,BCO,Riverwood Dr @ low water crossing COB1001,30.12042,-97.329033,on,Roadway is Open,749
P1004 - Green Valley Dr,BCO,Green Valley Dr @ low water crossing,30.17705,-97.293823,on,Roadway is open,750
P1005 - 712 Shilo Road .2 West of N Gaines,BCO,712 Shilo Road .2 West of N Gaines,30.097076,-97.403717,on,Road is damaged,751
P1006 - Lovers Ln,BCO,1275 Lovers Ln,30.09199,-97.327667,on,Crossing is open,752
P1007 - Keanahalululu Ln/ Haiimaile,BCO,Keanahalululu Ln/ Haiimaile,30.09164,-97.326958,on,Road is open,753
P1008 - Woodlands Dr,BCO,Woodlands Dr,30.11804,-97.402878,on,Road is open,754
P1009 - Tucker Hill Ln,BCO,Tucker Hill Ln,30.18111,-97.523064,on,Road is open,755
P1010 - 236 Over Hill Rd,BCO,236 Over Hill Rd near Creek side,30.18976,-97.301392,on,Road is open,756
P1011 - 170 Tiger Woods Dr,BCO,170 Tiger Woods Dr,30.179899,-97.280937,on,Road is open,757
P1012 - Manawianui Dr ,BCO,Manawianui Dr just off Kaanapali ln,30.08757,-97.276688,on,Road is open,758
P1013 - Kaanapali Low Water Crossing,BCO,Between Manawianui Dr and Koali Dr,30.088461,-97.277298,on,Roadway is open,759
P1014 - Old McDade Rd ,BCO,Old McDade Rd @ low water crossing,30.14341,-97.309441,on,Road is open,760
P1015 - Greenfields Dr,BCO,Greenfields Dr,30.126659,-97.427696,on,Road is open,761
P1016 - E Riverside Dr,BCO,E Riverside Dr from Akaloa Dr to Kahana Ln,30.069189,-97.298019,off,Road is Closed,762
P2001 - Friendship Rd. (East),BCO,400 Blk,30.187429,-97.086777,on,Road is open,763
