name,jurisdiction,address,lat,lng,type,comment,id,,
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716,,
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920,,
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097,,
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143,,
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169,,
Low Water Crossing #1,COA,"6019 Spicewood Springs, Austin, TX",30.390406,-97.774994,on,Crossing is open.,1,,
Low Water Crossing #2,COA,"6020 Spicewood Springs Rd, Austin, TX",30.391405,-97.77845,on,Crossing is open.,2,,
Low Water Crossing #3,COA,"6650 Spicewood Springs Rd, Austin, TX",30.397104,-97.7789,on,Crossing is open.,3,,
Low Water Crossing #4,COA,"6836 Spicewood Springs Rd, Austin, TX",30.399363,-97.783081,on,Crossing is open.,4,,
Low Water Crossing #5,COA,"7003 Spicewood Springs Rd, Austin, TX",30.404879,-97.788383,on,Crossing is open.,5,,
Low Water Crossing #6,COA,"7748 Spicewood Springs Rd, Austin, TX",30.416759,-97.795227,on,Crossing is open.,6,,
Low Water Crossing #7,COA,"7882 Spicewood Springs Rd, Austin, TX",30.420071,-97.793816,on,Crossing is open.,7,,
Low Water Crossing #10,COA,"6700 Lakewood Dr, Austin, TX",30.366344,-97.787018,on,Crossing is open.,8,,
Low Water Crossing #11,COA,Old Spicewood Springs,30.383081,-97.768349,on,Crossing is open.,9,,
Low Water Crossing #12,COA,Old Spicewood Springs,30.382622,-97.76973,on,Crossing is open.,10,,
Low Water Crossing #13,COA,5296 Old Spicewood Springs Road,30.382612,-97.77037,on,Crossing is open.,11,,
Low Water Crossing #20,COA,"6765 Old Bee Caves Rd, Austin, TX",30.235039,-97.871414,on,Crossing is open,12,,
Low Water Crossing #21,COA,"6334 Joe Tanner Ln, Austin, TX",30.234055,-97.857742,on,Crossing is open,13,,
Low Water Crossing #22,COA,"5003 Wasson Rd, Austin, TX",30.210482,-97.771172,on,Crossing is open,14,,
Low Water Crossing #30,COA,"3523 McNeil Dr, Austin, TX",30.433285,-97.701256,on,Crossing is open,15,,
Low Water Crossing #31,COA,"12400 Waters Park Rd, Austin, TX",30.418852,-97.707306,on,Crossing is open,16,,
