name,jurisdiction,Display Community,address,lat,lng,Additional description,id,Status notes,
Schulze Rd ,FCO,Fayette County,"Schulze Rd at Guettermann Ehler Rd, Schulenburg, TX 78956",29.764311,-96.999619,,1203,,
Anders Bottom Rd ,FCO,Fayette County,"5105 Anders Bottom Rd, La Grange, TX 78945",29.830805,-96.826996,1 1/4 mi S of FM 155,1204,,
Baumgarten Rd ,FCO,Fayette County,"1000 Baumgarten Rd, Schulenburg, TX 78956",29.66787,-96.956383,"at Brushy Creek, near Wolters Rd",1205,,
Bilimek Rd ,FCO,Fayette County,"399 Billimk Rd, Schulenburg, TX 78956",29.676725,-96.878899,off of Billimek Rd near Oakland Rd,1206,,
Bohuslav Rd ,FCO,Fayette County,"Bohuslav Rd & Anders Bottom Rd, La Grange, TX 78945",29.813789,-96.836906,,1207,Extensive flood damage; closed indefinitely,Update to long-term closure status
Brandt River Bottom Rd ,FCO,Fayette County,"9100 Brandt River Bottom Rd, La Grange, TX 78945",29.824234,-96.782684, 3/4 mi NE of FM 155,1208,,
Bruno Rd ,FCO,Fayette County,"2998 Bruno Rd, Schulenburg, TX 78956",29.745979,-96.949646,near FM 956,1209,,
Bryant Rd ,FCO,Fayette County,"1198 Bryant Rd, Schulenberg, TX 78956",29.703325,-96.969498,"at Rocky Creek, 3/4 mi N of IH 10",1210,,
Clark Ln ,FCO,Fayette County,"100 Clark Ln, Schulenberg, TX 78956",29.664957,-96.919731,near FM 957,1211,,
Gebert Rd ,FCO,Fayette County,"6000 Gebert Rd, Schulenburg, TX 78956",29.7682,-97.011337,between Salem Freyburg Rd & Schulze ,1212,,
Guenther Rd ,FCO,Fayette County,"2000 Guenther Rd, La Grange, TX 78945",29.869698,-96.855621,at Lane Pool Creek,1213,,
Krischke Rd ,FCO,Fayette County,"6000 Krischke Rd, Schulenburg, TX 78956",29.738708,-96.967438,near FM 2238,1215,,
Lane Pool Rd ,FCO,Fayette County,"1010 Lane Pool Rd, La Grange, TX 78945",29.870905,-96.836411,at Lane Pool Creek,1216,,
Lidiak Rd ,FCO,Fayette County,"3000 Lidiak Rd, La Grange, TX 78945",29.814957,-96.863083,1/2 mi E of Radhost School Rd,1217,,
Loehr Rd ,FCO,Fayette County,"9000 Loehr Rd, La Grange, TX 78945",29.852669,-96.80835,near Mullins Prairie Loop,1218,,
Mensik Rd ,FCO,Fayette County,"4800 Mensik Rd, Schulenburg, TX 78956",29.74983,-96.864502,"at East Navidad River, near Middle Creek Rd",1219,,
Munke Rd ,FCO,Fayette County,"6125 Munke Rd, La Grange, TX 78945 ",29.831059,-96.847633,at Williams Creek,1220,,
Oakland Rd ,FCO,Fayette County,"1840 Oakland Rd, Schulenburg, TX 78956",29.669636,-96.876198,near Bilimek Rd,1221,,
Oakland Rd ,FCO,Fayette County,"3868 Oakland Rd, Schulenburg, TX 78956",29.658689,-96.855209,at East Navidad River,1222,,
Ohnheiser Kaase Rd ,FCO,Fayette County,"8700 Ohnheiser Kaase Rd, Schulenburg, TX 78956",29.795063,-96.952095,near Niesner Rd,1223,,
Petter Rainosek Loop (south) ,FCO,Fayette County,"5299 Petter Rainosek Loop, La Grange, TX 78945",29.848938,-96.895187,near Kruppa Rd,1224,,
Schilhab Bottom Loop ,FCO,Fayette County,"4500 Schilhab Bottom Loop, Schulenburg, TX 78956",29.750624,-96.974731,near FM 2238,1225,,
Seidel Rd ,FCO,Fayette County,"3558 Seidel Rd, Schulenburg, TX 78956",29.70579,-96.955742,at West Navidad Creek,1226,,
Seydler Rd ,FCO,Fayette County,"9700 Seydler Rd, La Grange, TX 78945",29.808804,-96.777687,1 1/4 mi SE of Brandt River Bottom Rd,1227,,
Piano Bridge Rd ,FCO,Fayette County,"3200 Piano Bridge Rd, Schulenburg, TX 78956",29.72386,-96.850853,at East Navidad,1228,,
Bartons Creek Rd ,FCO,Fayette County,"Bartons Creek Rd, Smithville, TX 78957",29.958767,-97.111908,3/4 mi S of S Kirtley Rd,1229,,
Bell Settlement Rd ,FCO,Fayette County,"1500 Bell Settlement Rd, Ledbetter, TX 78946",30.115679,-96.807854,near Wendler Rd,1230,,
Camelback Rd ,FCO,Fayette County,"1950 Camelback Rd, La Grange, TX 78945",30.025095,-97.033607,at Little Pin Oak Creek,1231,,
Davis Rd ,FCO,Fayette County,"3000 Davis Rd, Muldoon, TX 78949",29.877958,-97.060089,at Jack Young Creek,1232,,
Owl Creek Rd ,FCO,Fayette County,"1642 Owl Creek Rd, La Grange, TX 78945",30.049114,-96.893555,at Rabbs Creek,1233,,
Spring Branch Ln ,FCO,Fayette County,"2200 Spring Branch Ln, La Grange, TX 78945",29.987932,-97.017456,at Spring Branch Creek,1234,,
West Point Loop ,FCO,Fayette County,"1098 W Point Loop, West Point, TX 78963",29.950809,-97.028481,at Criswell Creek,1235,,
Airport Rd ,FCO,Fayette County,"3600 Airport Rd, La Grange, TX 78945",29.875782,-96.931297,near FM 609,1236,,
Burke Rd ,FCO,Fayette County,"2600 Burke Rd, Flatonia, TX 78941",29.713629,-97.135796,near FM 2762,1237,,
Creamer Creek Rd ,FCO,Fayette County,"5435 Creamer Creek Rd, La Grange, TX 78945",29.860077,-96.924736,at Creamer Creek,1238,,
Dozier Rd ,FCO,Fayette County,"5400 Dozier Rd, Flatonia, TX 78941",29.723896,-97.195892,at Little Five Mile Creek,1239,,
Ehler Grasshoff Rd ,FCO,Fayette County,"Ehler-Grasshoff Rd, Flatonia, TX 78956",29.742416,-97.043289,at Cold Creek,1240,,
Elm Creek Rd ,FCO,Fayette County,"4154 Elm Creek Rd, Waelder, TX 78959",29.775389,-97.278183,at Elm Creek,1241,,
Farek Loth Rd ,FCO,Fayette County,"4713 Farek-Loth Rd, Schulenburg, TX 78956",29.72043,-97.030907,near Olle Ln,1242,,
Father Anders Loop ,FCO,Fayette County,"300 Father Anders Loop, Waelder, TX 78959",29.754507,-97.255203,near FM 1115,1243,,
Freyburg Engle Rd ,FCO,Fayette County,"1900 Freyburg-Engle Rd, Schulenburg, TX 78956",29.709305,-97.019188,at Cold Creek,1244,,
Freyburg Engle Rd ,FCO,Fayette County,"1500 Freyburg-Engle Rd, Schulenburg, TX 78956",29.703732,-97.021317,at Rocky Creek,1245,,
