name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
"Schulze Rd, Fayette County",FCO,Schulze Rd near Guettermann Ehler Rd,29.764311,-96.999619,on,,1203
"Anders Bottom Rd, Fayette County",FCO,Anders Bottom Rd - 1 1/4 mi S of FM 155,29.830805,-96.826996,on,,1204
"Baumgarten Rd, Fayette County",FCO,Baumgarten Rd near Wolters Rd,29.66787,-96.956383,on,,1205
"Bilimek Rd, Fayette County",FCO,Bilimek Rd near Oakland Rd,29.676725,-96.878899,on,,1206
"Bohuslav Rd, Fayette County",FCO,Bohuslav Rd near Anders Bottom Rd,29.813789,-96.836906,off,Extensive flood damage; closed indefinitely,1207
"Brandt River Bottom Rd, Fayette County",FCO,Brandt River Bottom Rd - 3/4 mi NE of FM 155,29.824234,-96.782684,on,,1208
"Bruno Rd, Fayette County",FCO,Bruno Rd near FM 956,29.745979,-96.949646,on,,1209
"Bryant Rd, Fayette County",FCO,Bryant Rd - 3/4 mi N of IH 10,29.703325,-96.969498,on,,1210
"Clark Ln, Fayette County",FCO,Clark Ln near FM 957,29.664957,-96.919731,on,,1211
"Gebert Rd, Fayette County",FCO,Gebert Rd between Salem Freyburg Rd & Schulze ,29.7682,-97.011337,on,,1212
"Guenther Rd, Fayette County",FCO,Guenther Rd at Lane Pool Creek,29.869698,-96.855621,on,,1213
"Krischke Rd, Fayette County",FCO,Krischke Rd near FM 2238,29.738708,-96.967438,on,,1215
"Lane Pool Rd, Fayette County",FCO,Lane Pool Rd at Lane Pool Creek,29.870905,-96.836411,on,,1216
"Lidiak Rd, Fayette County",FCO,Lidiak Rd - 1/2 mi E of Radhost School Rd,29.814957,-96.863083,on,,1217
"Loehr Rd, Fayette County",FCO,Loehr Rd near Mullins Prairie Loop,29.852669,-96.80835,on,,1218
"Mensik Rd, Fayette County",FCO,Mensik Rd near Middle Creek Rd,29.74983,-96.864502,on,,1219
"Munke Rd, Fayette County",FCO,Munke Rd at Williams Creek,29.831059,-96.847633,on,,1220
