name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
1400 Blk Nature Heights Dr,MBF,"Between US-281 & Commerce St., Marble Falls,",30.599077,-98.268562,on,Crossing is OPEN,405
1200 Blk Mission Hill Dr.,MBF,"Between Bluebonnet Dr & Ave K, Marble Falls, T",30.582359,-98.275215,on,Crossing is OPEN,406
1700 Blk Broadway St Bridge,MBF,"Between Ave. S & Ave. Q, Marble Falls, TX",30.581682,-98.284653,on,Crossing is OPEN,407
2100 Blk Broadway St,MBF,"Between Ave. U & Industrial Blvd., Marble Fall",30.583336,-98.288109,on,Crossing is OPEN,408
1300 Blk Broadway St,MBF,"Between Ave L & Ave N, Marble Falls, TX",30.57856,-98.278419,on,Crossing is OPEN,409
800 Blk Ave J,MBF,"Between Broadway St., & Ninth St., Marble Fall",30.577234,-98.275375,on,Crossing is OPEN,410
800 Blk Main St.,MBF,"Between Broadway St. & Ninth St., Marble Falls",30.576857,-98.274132,on,Crossing is OPEN,411
1500 Blk 2nd St,MBF,"Between Ave. P & Ave. N., Marble Falls, TX",30.574352,-98.284576,on,Crossing is OPEN,412
800 Blk Lake Shore Dr.,MBF,"Between Edyth St. & Trinity St., Marble Falls,",30.562025,-98.283867,on,Crossing is OPEN ,413
1100 Blk Yett St.,MBF,"Between Ave. J & Ave. L, Marble Falls, TX",30.570227,-98.281143,on,Crossing is OPEN,414
800 Blk Ave L,MBF,"Between Broadway St. & Ninth St., Marble Falls",30.578644,-98.277336,on,Crossing is OPEN,416
100 Blk S Avenue S Bridge,MBF,Between Johnson St. & Granite Mountain Trl.,30.573744,-98.290871,on,Crossing is OPEN,417
100 Blk S Ave N (Huber),MBF,"Between Backbone St. & 1st St., Marble Falls, ",30.570494,-98.286026,on,Crossing is OPEN,418
300 Blk Avenue S,MBF,Between 3rd St. & 4th St.,30.577681,-98.288307,on,Crossing is OPEN,419
1100 Blk 3rd St Bridge,MBF,Between Ave. L & Ave. K,30.572729,-98.27932,on,Crossing is OPEN,420
1700 Blk US Highway 281 Bridge,MBF,Between Marble Hts. & Latana Dr.,30.588221,-98.273964,on,Crossing is OPEN,421
1300 Blk RM - 1431 Bridge,MBF,Between Bluebonnet Dr. & Ave. K,30.580851,-98.278038,on,Crossing is OPEN,422
800 Blk Hwy 281 Bridge,MBF,Between Broadway St. & 9th St.,30.576721,-98.27343,on,Crossing is OPEN,423
900 Blk RM - 1431 Bridge,MBF,Between Main St. & Ave. H,30.578403,-98.272041,on,Crossing is OPEN,424
700 Blk 12th St Bridge,MBF,Between Ave. G & Main St.,30.579365,-98.270065,on,Crossing is OPEN,425
1200 Blk Arbor Ln.,MBF,Between Arbor Ln. & Lacy Dr.,30.587086,-98.282784,on,Not a Public Road,426
Johnson Park Bridge,MBF,Between S Yett St. & Johnson St.,30.568752,-98.280884,on,Crossing is OPEN,427
1100 Blk 2nd St Bridge,MBF,Between Ave. J & Ave. L,30.572062,-98.279953,on,Crossing is OPEN,428
1100 Blk 4th St Bridge,MBF,Between Ave. K & Ave. M,30.57453,-98.280518,on,Crossing is OPEN,429
900 Blk Avenue H,MBF,Between Broadway St. & RM -1431,30.577091,-98.272057,on,Crossing is OPEN,430
1500 Blk Resource Pkwy,MBF,Between US Highway 281 & W Innovation Loop,30.616772,-98.264015,on,Crossing is OPEN,431
1900 Blk RM - 1431 Bridge,MBF,Between Ave.Q & Ave. U,30.584019,-98.284515,on,Crossing is OPEN,432
2000 Blk 4th St,MBF,Between Ave. T & Ave. S,30.578768,-98.289345,on,Crossing is OPEN,433
2000 Blk 5th St,MBF,Between Ave. S & Ave. T,30.579531,-98.287811,on,Crossing is OPEN,434
400 - 700 Blk Avenue T,MBF,Between 4th St. & 7th St.,30.580151,-98.288147,on,Crossing is OPEN,435
2000 Blk 7th St.,MBF,Between Ave. U & Ave. T,30.581942,-98.287689,on,Crossing is OPEN,436
800 Blk Ave U,MBF,Between 7th St. & Broadway St.,30.582624,-98.288437,on,Crossing is OPEN,437
2600 Blk Commerce St,MBF,Commerce St & Trade St,30.597076,-98.26857,on,Crossing is OPEN,668
900 Blk Colorado St,MBF,"Colorado St & S Ave J, Marble Falls, TX",30.565212,-98.283218,on,Crossing is OPEN,670
100 Blk Ave L,MBF,Between 1st St & 2nd St,30.572124,-98.282089,on,Roadway is OPEN,676
3700 Blk Mormon Mill Rd,MBF,Mormon Mill Rd & Cedar Ridge Rd,30.601788,-98.2519,on,Roadway is OPEN,677
Bluebonnet Dr & Lantana Dr,MBF,Bluebonnet Dr & Lantana Dr,30.588169,-98.274773,on,Crossing is OPEN,679
281 & 2nd St,MBF,"Hwy 281 & 2nd St, Marble Falls, TX",30.570263,-98.276291,on,Intersection is OPEN,681
1800 Blk 2nd St,MBF,Between Ave R & Ave S,30.576242,-98.288528,on,Intersection is OPEN,1107
Ave G & 11th St,MBF,"AVE G & 11TH ST; MARBLE FALLS, TX 78654",30.578327,-98.270241,on,Crossing is OPEN,1780
